POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)

Kinetic  	Total    	CSDA     	Projected
Energy   	Stp. Pow.	Range    	Range
MeV      	MeV cm2/g	g/cm2    	g/cm2

1.000E-03	2.147E+02	5.659E-06	2.667E-06
1.500E-03	2.463E+02	7.816E-06	4.006E-06
2.000E-03	2.746E+02	9.737E-06	5.307E-06
2.500E-03	3.004E+02	1.148E-05	6.558E-06
3.000E-03	3.242E+02	1.308E-05	7.761E-06
4.000E-03	3.635E+02	1.598E-05	1.005E-05
5.000E-03	3.994E+02	1.861E-05	1.221E-05
6.000E-03	4.322E+02	2.101E-05	1.424E-05
7.000E-03	4.624E+02	2.325E-05	1.618E-05
8.000E-03	4.899E+02	2.535E-05	1.804E-05
9.000E-03	5.153E+02	2.734E-05	1.982E-05
1.000E-02	5.391E+02	2.923E-05	2.153E-05
1.250E-02	5.870E+02	3.367E-05	2.560E-05
1.500E-02	6.277E+02	3.778E-05	2.944E-05
1.750E-02	6.632E+02	4.165E-05	3.309E-05
2.000E-02	6.948E+02	4.533E-05	3.658E-05
2.250E-02	7.229E+02	4.886E-05	3.995E-05
2.500E-02	7.479E+02	5.226E-05	4.322E-05
2.750E-02	7.700E+02	5.555E-05	4.639E-05
3.000E-02	7.898E+02	5.876E-05	4.949E-05
3.500E-02	8.244E+02	6.495E-05	5.551E-05
4.000E-02	8.537E+02	7.091E-05	6.132E-05
4.500E-02	8.779E+02	7.668E-05	6.697E-05
5.000E-02	8.972E+02	8.231E-05	7.249E-05
5.500E-02	9.118E+02	8.784E-05	7.792E-05
6.000E-02	9.224E+02	9.329E-05	8.328E-05
6.500E-02	9.296E+02	9.868E-05	8.860E-05
7.000E-02	9.340E+02	1.040E-04	9.390E-05
7.500E-02	9.358E+02	1.094E-04	9.918E-05
8.000E-02	9.355E+02	1.147E-04	1.045E-04
8.500E-02	9.334E+02	1.201E-04	1.097E-04
9.000E-02	9.296E+02	1.255E-04	1.151E-04
9.500E-02	9.245E+02	1.308E-04	1.204E-04
1.000E-01	9.183E+02	1.363E-04	1.258E-04
1.250E-01	8.757E+02	1.641E-04	1.534E-04
1.500E-01	8.243E+02	1.935E-04	1.826E-04
1.750E-01	7.723E+02	2.249E-04	2.138E-04
2.000E-01	7.232E+02	2.583E-04	2.470E-04
2.250E-01	6.769E+02	2.941E-04	2.826E-04
2.500E-01	6.346E+02	3.322E-04	3.206E-04
2.750E-01	5.969E+02	3.728E-04	3.611E-04
3.000E-01	5.634E+02	4.160E-04	4.040E-04
3.500E-01	5.077E+02	5.096E-04	4.973E-04
4.000E-01	4.639E+02	6.128E-04	6.001E-04
4.500E-01	4.289E+02	7.250E-04	7.120E-04
5.000E-01	4.006E+02	8.458E-04	8.324E-04
5.500E-01	3.770E+02	9.745E-04	9.607E-04
6.000E-01	3.564E+02	1.111E-03	1.097E-03
6.500E-01	3.383E+02	1.255E-03	1.240E-03
7.000E-01	3.222E+02	1.407E-03	1.392E-03
7.500E-01	3.078E+02	1.565E-03	1.550E-03
8.000E-01	2.948E+02	1.731E-03	1.716E-03
8.500E-01	2.830E+02	1.905E-03	1.888E-03
9.000E-01	2.722E+02	2.085E-03	2.068E-03
9.500E-01	2.623E+02	2.272E-03	2.255E-03
1.000E+00	2.532E+02	2.466E-03	2.448E-03
1.250E+00	2.168E+02	3.537E-03	3.517E-03
1.500E+00	1.905E+02	4.770E-03	4.747E-03
1.750E+00	1.705E+02	6.160E-03	6.134E-03
2.000E+00	1.546E+02	7.702E-03	7.672E-03
2.250E+00	1.418E+02	9.392E-03	9.359E-03
2.500E+00	1.311E+02	1.123E-02	1.119E-02
2.750E+00	1.221E+02	1.320E-02	1.316E-02
3.000E+00	1.143E+02	1.532E-02	1.528E-02
3.500E+00	1.017E+02	1.997E-02	1.991E-02
4.000E+00	9.179E+01	2.515E-02	2.509E-02
4.500E+00	8.379E+01	3.086E-02	3.079E-02
5.000E+00	7.719E+01	3.708E-02	3.700E-02
5.500E+00	7.164E+01	4.381E-02	4.372E-02
6.000E+00	6.690E+01	5.104E-02	5.093E-02
6.500E+00	6.280E+01	5.876E-02	5.864E-02
7.000E+00	5.921E+01	6.696E-02	6.683E-02
7.500E+00	5.605E+01	7.564E-02	7.550E-02
8.000E+00	5.324E+01	8.480E-02	8.464E-02
