PSTAR: Stopping Powers and Range Tables for Protons
POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)
Energy  	CSDA     	Projected
4.000E+00	2.515E-02	2.509E-02
5.000E+00	3.708E-02	3.700E-02
6.000E+00	5.104E-02	5.093E-02
7.000E+00	6.696E-02	6.683E-02
8.000E+00	8.480E-02	8.464E-02
9.000E+00	1.045E-01	1.043E-01
1.000E+01	1.261E-01	1.258E-01
1.100E+01	1.494E-01	1.492E-01
1.200E+01	1.746E-01	1.743E-01
1.300E+01	2.014E-01	2.011E-01
1.400E+01	2.301E-01	2.297E-01
1.500E+01	2.604E-01	2.600E-01
1.600E+01	2.924E-01	2.919E-01
1.700E+01	3.261E-01	3.256E-01
1.800E+01	3.614E-01	3.608E-01
1.900E+01	3.984E-01	3.977E-01
2.000E+01	4.369E-01	4.363E-01
